Rating;Title;Username;Date;Review
10;Hilarious movie with a tight cast!!!;lilballa0822;22 August 2006;"There is no film to put beside Home Alone by way of comparison. It is a film genre of it's own. I read and hear reviews of this movie that express disgust and horror and I picture John Hughes chuckling. This was the intent, it was meant to upset the status quo and in ""politically correct"" times that we live in, isn't it a small surprise to see this film come to the forefront again? This is a movie that will freak out the uptight for as long as it exists in any media. It was meant to. As much as ""Clockwork Orange"" talked about ""ultraviolence"" this movie is all about ultra-bad pranks. We can numb ourselves to sex and violence but Home Alone is a movie you just will never get used to. There will be something in this movie that will get to you. As a last resort to make sure everyone is offended before you leave the theatre, John includes the always discussed paint can scene. No reason for this scene, except to make sure he gets you and also to make sure you leave talking about it. Obviously filmed on a budget, and using Hughe's stock cast, this is a movie simply about a young kid whose parents forget him while they go on vacation. All the characters are bizarre in one way or another. This movie reminds me of ""Rocky Horror Picture Show"" in that everyone in the film has something odd about them and both movies joyfully celebrate these uniquenesses. Not a movie to buy for Mom on Mother's Day... but worth seeing just to say you did. 40 out of 55 found this helpful. Was this review helpful? Sign in to vote. Permalink"
10;The best Christmastime movie of all time;xentrix66724;24 December 2023;There's an argument for a few movies to be the best Christmas movie ever, but I genuinely believe this is a perfect movie for all ages at christmastime and, 33 years later, still has not been surpassed. It's a Wonderful Life is probably the only film that might surpass it, but I'm not aa big a fan of it as this.  Macauley Culkin is so good in this movie that it's hard to imagine anyone else who would have been able to play this role. How he plays off Pesci and Stern is fantastic and the level of slapstick is incredible.  That we also have Catherine O'Hara, a comic genius, who gets to share screen time with my favourite comic actor of all time, the affable, loveable and sorely missed John Candy, is a huge bonus.  That this isn't rated higher, or in the top 250 films of all time on IMDB, is a travesty. If you've never seen this film, which is something I can't believe is possible, you are in for an absolute treat and I guarantee you will come back to it over and over again. 5 out of 5 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;31.12.2023 Five hours before the New Year...;saveliydalmatov31;31 December 2023;"""Home Alone"" is already a New Year's classic. I am writing a review a few hours before the New Year 2024, the time is more suitable than ever!  The film is a comedy, the action takes place, as it is clear, on Christmas Eve, the idea is quite original, the actors also did their job well.  I also want to say that I am not an ardent fan of this movie and do not watch it every New Year, but it is worth recognizing the cult significance and overall interest of the plot of ""Home Alone"".  I would recommend watching this movie at least once in a New Year's mood to feel the rush of the atmosphere. It's worth it!  My rating : 7.5/10. 5 out of 5 found this helpful. Was this review helpful? Sign in to vote. Permalink"
7;Funny and has its Charms;Christmas-Reviewer17;17 December 2016;"I HAVE REVIEWED OVER 400 (C H R I S T M A S ) MOVIES AND SPECIALS.  BEWARE OF SOME REVIEWERS THAT ONLY HAVE ONLY ONE REVIEW. WHEN ITS A POSITIVE THERE IS A GOOD CHANCE THEY WERE INVOLVED WITH THE PRODUCTION. NOW I HAVE NO AGENDA! I AM HONEST! I REVIEW MOVIES & SPECIALS AS A WAY TO KEEP TRACK OF WHAT I HAVE SEEN! I HAVE DISCOVERED MANY GEMS IN MY QUEST TO SEE AS MANY Christmas MOVIES AS I CAN.  Maybe the most successful ""Christmas Movie"" of all time and it's easy to understand why. The film made Macaulay Culkin a household name and the biggest child star since Shirley Temple.  In this film a child get left behind on accident in his Chicago home while his family has flown off for Christmas.  This film takes place in Chicago, the McCallister family is preparing for a Christmas vacation in Paris. On the night before their departure, the entire family gathers at Peter and Kate's home, where their son, Kevin, is ridiculed by his siblings and cousins. After a scuffle with his older brother, Buzz, Kevin is sent to the third floor of the house, where he wishes that his family would disappear. During the night, heavy winds cause damage to power lines, which causes the alarm clocks to reset; consequently, the family oversleeps. In the confusion and rush to get to the airport in time to catch their flight, Kevin is accidentally left behind.  Later, Kevin wakes up to find the house empty and, thinking his wish has come true, is overjoyed with his new-found freedom. However, Kevin's joy turns to fear as he encounters his next door neighbor, ""Old Man"" Marley, who is rumored to have murdered his family with a snow shovel in 1958; he also encounters the ""Wet Bandits"", Harry and Marv, a pair of burglars who have been breaking into other vacant houses in the neighborhood and have targeted the McCallisters' house. Kevin initially manages to keep them away by making the house look as if the family is home, but they eventually realize the deception.  This film is one of the best Christmas movies however at first it is a little slow on the set-up. 11 out of 19 found this helpful. Was this review helpful? Sign in to vote. Permalink"
9;"""This house is so full of people it makes me sick. When I grow up and get married, I'm living alone. Did you hear me?""";drewnes30;30 May 2021;This movie is a Christmas classic for sure. I remember watching this as a kid and thinking how awesome it would be to be left alone for a few days... too bad my family never forgot about me. I feel like all the main actors are really good in this and the two robbers still make me laugh after all these years. I also have to credit my love for this film to John Williams and his beautiful score. The only reason I don't give it a 5 because Kevin did get on my nerves with some of the screaming (that's how I know I am getting older). 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink
no rating;where Hughes went wrong;mcfly-317;17 November 2000;Too bad for John Hughes, my favorite writer of the 80s. His first offering of the 90s was this blockbuster, not a bad film, but one that started him on an unfortunate trend. The storyline is ingenuis if you're trying to lure kids to see it, and releasing it during the holiday season made it an easy option for parents who wanted something PG rated for the little ones. It concerns Culkin being left behind by his family during a mad dash to the airport. When he awakens to an empty house, he stays unrealisticly calm. Most kids would probably be scared on their own, but he's unphased and makes the best of it, eating junk, jumping on his folks bed and staying up late watching R rated films. His family finally notices him missing halfway to Paris and mom O'Hara takes the rest of the films running time to get back to him. In the middle of living it up, Culkin discovers that a pair of hairbrained burglars plan on robbing his house. He's ready for them, arming the entire home with an array of painful traps and devices. Up until this point the film was slightly amusing, as Culkin, though not a great kid actor, was cute to watch go thru his little adventures. But Hughes, writing genius that he is, waited till the end to hatch his goldmine idea that he knew kids would eat up. Youngsters, most of which who don't understand prolonged pain and find it funny, lapped up the cartoonish injuries heaped upon Pesci and Stern. Watching as an adult, though, it just makes you uncomfortable, watching men scream in pain scene after scene. Hughes tries to cancel out the violence with a sappy happy ending, but it does nothing to erase the damage done by the unpleasantness. And as said earlier, because of the 800 million dollar success of the film, Hughes would mire himself in a clone mode for the entire decade of the nineties! Constantly remaking this formula with even worse results each time. It all went to show that even your best success cannot be the best thing for you, and all we can hope is that real John Hughes who we loved in the 80s will come home again. 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink
no rating;Great Fun;Michael_Elliott23;23 January 2010;Home Alone (1990)  *** (out of 4)  Blockbuster dealing with eight-year-old Kevin McCallister (Macaulay Culkin) who after a fight with his family wishes that he never has to see them again. The next day Kevin wakes up with his family no where to be found. He believes that his hopes have been answered but soon he's having to deal with a couple burglars (Joe Pesci, Daniel Stern) who have their eyes on his house.  If you were around in 1990 then you will remember the tremendous success that HOME ALONE had with critics, fans and at the box office. To say the film was a landmark would be an understatement because the film was a huge hit and has gained plenty of fans over the years. After twenty-six years I think it's safe to say that the film is a new classic. While the film isn't perfect it's certainly a lot of fun and perfectly captures the manic spirit of Christmas time.  What makes the film work so well is that it's a perfect child fantasy. I'm sure many kids have wished that they were the boss, the keeper of the house and that the adults would just go away. This film works perfectly fulfilling that fantasy but of course there's the more touching moments thrown in for good measure. What makes the film a classic are the battles between the kid and the burglars. Culkin, Pesci and Stern would all become household names after this film and it's easy to see why.  Culkin is absolutely adorable as the brat kid who finds himself home alone and doing battle against his fears as well as the two bad guys. The violence in the film is in the same field as The Three Stooges and it works perfectly well. Not only does the violence work but it's perfectly sold by Pesci and Stern who are terrific and easily steal the film as Harry and Marv. The two of them have perfect chemistry together and they really make for a great comic team.  The supporting cast is very good with the likes of John Heard, Roberts Blossom, Catherine O'Hara and John Candy all doing fine work. Another major plus is the score from John Williams as well as an all-around great charm. The film contains some great laughs throughout and I think after all these years it's fair to call it a classic. 5 out of 10 found this helpful. Was this review helpful? Sign in to vote. Permalink
9;There's only one Home Alone;adamonIMDb24;24 December 2016;Well... there's 5, but there's only one Home Alone series, and no matter how many movies try to copy the idea, none of them will ever come close to the original Home Alone. This is one of the most enjoyable, fun movies ever made, and will continue to be for years to come.  'Home Alone' is such an iconic Christmas movie and there isn't a year goes by without it appearing on our televisions over the festive period. It is such a crowd-pleaser, a movie that can be enjoyed by anyone, regardless of age and movie preference. Frankly, if you don't like 'Home Alone', there must be something wrong with you!  Merry Christmas ya filthy animals! 4 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Nostalgic fun although your enjoyment on this this might depend on how far you're willing to suspend disbelief;The-Last-Prydonian18;18 December 2017;"It's safe to say I think that Home Alone, along with movies like The Goonies and Ghostbusters is going to be on of those for people of a certain generation as a must go to when it comes to sheer nostalgia. It's notable that it catapulted then 10 year old MacCaulay Culkin to international stardom, and brings back fond memories for people like myself who remember going to see it at the cinema as a kid. As it comes that bit closer to hitting the thirty year anniversary of it's release, it's still lost none of it's appeal and has thus far stood the test of time. All this said, and in all fairness I can't say it's a brilliant movie and given it's premise, your enjoyment of it will probably depend on how much you're willing to suspend disbelief. This is after all about a an eight year old named Kevin who's criticised by the fellow childhood members of his family for not being able to pack his own suitcase (their family is travelling to Paris for Xmas) and yet proves remarkably resourceful when fending off the movies antagonists; the burglars Harry and Marv played with hilarious brilliance by Joe Pesci and Daniel Stern.  Written by John Hughes who sadly passed away several years ago (as incidentally did actor John Heard who plays Kevin's father in the movie), he makes good use of it's basic premise, with young Kevin attempting to temporarily adjust to finding himself on his own and without any parental supervision. Fun moments include him being questioned by a suspicious checkout operator while he's grocery shopping, and tricking Harry and Marv in to thinking his house is still operating by constructing a fake party using cardboard cutouts. It's certainly one of Hughes most inventive movies as a writer, despite how far fetched it is. The now legendary final act is a masterclass of slapstick comedy and you'd be hard pressed not to find yourself rolling on the floor with laughter.  Of course with this being a Hughes movie, or just any family comedy of this nature there's going to be some life lessons learned for our plucky young hero by the end of it. Thankfully however it's beautifully handled and while predictably sentimental, it never becomes cringe-inducing. MacCaulay Culkin brings innocent charm to the role of Kevin, and displays natural comic timing. He also handles the transition from obnoxious brat to lovable sympathetic young scamp effectively well. The rest of the supporting cast which includes Catherine O'Hara, the late Roberts Blossom and the late great John Candy (making a relatively brief appearance) are all on top form. No doubt this is a film that will be well remembered for years to come even with it's glaring flaws, you can't deny it's charm and I defy anyone not have a lump in their throat in it's moving final moments. 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink"
6;Not as good as I thought;ThomasColquith22;22 December 2021;"I just watched ""Home Alone"" for the first time in years and I did not enjoy it as much as I thought I would. This was such a big film when it came out and was well received by most but now it just doesn't feel on that level to me. It seems just ok, nothing great. The plot can be plodding at times and there is a good deal of negativity mixed in between some nice moments such as the scene in the church. And seeing the burglars get hurt wasn't satisfying or funny to me now but just cringeworthy. Really there were few laughs the entire film. I'm not sure if this discrepancy in perception is due to my aging or the world changing, but there it is. I will give it a 6/10 and that may be somewhat generous. 3 out of 4 found this helpful. Was this review helpful? Sign in to vote. Permalink"
no rating;Humor is a poor substitute for intelligence;Angry_Arguer9;9 August 2003;"First off, I would like to say that John Hughes has fallen in ability since Planes, Trains, and Automobiles. This movie is a shining example of that. My sister saw it when it was first released in 1990 and told me that ""it sucked"", she was in third grade. I didn't see it until last week and can almost agree with that, but not totally. As far as so-called 'Holiday movies' go, Die Hard and Gremlins will remain my pop culture mainstay.  Home Alone racks up plot holes faster than the Wet Bandits fall down. They are so dumb that they make the Three Stooges look like the Untouchables. To think that Joe Pesci belittles himself into a role like this is beyond my belief. Being outsmarted by an eight-year-old is not the best thing to include on his film resume. The film would have ended a good 30 minutes earlier if Kevin had acted like a normal kid and don't the smart thing instead of being a defensive snot.  Chris Columbus has always had a fascination with kiddie comedies and this is not his best effort. Thankfully he is not so much in the pursuit of money (as with Harry Potter) as he is with the pursuit of political correctness. It's not surprising that the script it Hughes' work, there are so many of his little touches throughout.  If I can say one good thing about this movie, it's the music. John Williams KNOWS how to write music and this movie is a perfect example. The film certainly has a nice Christmas ring that contrasts with the ever cloudy skies.  Overall, there are good movies for the holidays and good movies for kids. This one might fit their bill, but everyone else will find it to be a watch-checker after a while. 2 out of 5 stars. 3 out of 4 found this helpful. Was this review helpful? Sign in to vote. Permalink"
no rating;Average Film;eibon096;96 April 2000;Home Alone(1990) is a mediocre movie with an uneasy amount of cartoonish violence. The problem with the film is the characters do things that most people would not normally do. Joe Pesci is wasted in this movie as he gives the only interesting performance of the entire movie. One sad thing about this movie is that this may be the only film that Macaulay Culkin will be known mainly for. Its a fine film for the holidays but not as an overall viewing experience. 5 out of 8 found this helpful. Was this review helpful? Sign in to vote. Permalink
no rating;an average conventional comedy;dbdumonteil10;10 June 2002;"The first time I saw this film was when I was a child and it pleased me a lot because I only saw its comic side. I saw it recently and it disappointed me although the story is original: during Christmas holidays, the McCallister family decided to celebrate Christmas at Paris, unfortunately they forgot one of their children. First of all, Kevin is elated but he realizes that two thieves want to burgle his house. In order to get rid of them, he puts in several traps; the thieves are under arrested and Kevin finds again his family. If I had to choose one adjective to judge this film, it would be the term: conventional. Several sides of the film are showing it. For example, Kevin's family seem to ignore and despise him and consequently he feels rejected and outraged and ,at the end, his family and especially his mother discovers how much she loves him, moreover, they say that Kevin's neighbour is a killer and he's got a wicked reputation but Kevin finds out that he's not a murderer and he had an unhappy life. Not only is the film conventional but the screenplay is sometimes predictable : when Kevin finds out that is ""home alone"" he wants to have fun as much as he can, and finer feelings are often put forward . Nevertheless, Daniel Stern and Joe Pesci, the two thieves are very entertaining and the sequence where they have to endure Kevin's traps is very funny. At last, I think that this film was especially made for children and young teenagers and it was useless to make it follow by two poor sequels. 9 out of 23 found this helpful. Was this review helpful? Sign in to vote. Permalink"
8;Good family film.;Peach-220;20 December 1998;Home Alone is a good family film. I enjoyed it. I saw the film with about 500 young children and it was an overwhelming experience. Although I didn't think the film was as funny as they did, I had a great time listening to them laugh. Kids will laugh more than adults will, but I think that's what this film is aiming to do. 3 out of 4 found this helpful. Was this review helpful? Sign in to vote. Permalink
9;Merry Xmas You Filthy Animals;swaintastic29;29 December 2019;This has got to be one of the best Christmas movies ever made. The story is simple yet unique. The acting is not academy award worthy, but Macaulay Cullkin has just enough charisma to carry the film, and of course Joe Pesci is great. Then you add John Williams score, and the whole thing gets elevated to another level. It has aged a little, but it is still enjoyable to watch today. If you're looking for a movie to put you in the holiday spirit, look no further than Home Alone.  The sequel is pretty good too. A lot of rehashing, but it's still a good companion piece. 8 out of 10 found this helpful. Was this review helpful? Sign in to vote. Permalink
6;Cute... but not much else;TBJCSKCNRRQTreviews8;8 October 2005;"This is an odd one; I can't tell you how many times I've seen this film, yet every time is like the first. It just makes no lasting impression, and I'm always left feeling kind of cheated. The real problem here is that the only truly entertaining thing in the film(not the only funny, mind you) are the scenes of Kevin scaring off the burglars and the finale(which I won't write here, in case anyone reading this review hasn't seen the film yet). That's it. The rest of the film, sure, there are funny scenes, lines and such... but no real entertainment. The scenes of Kevin by himself, in the house, doing adult stuff are cute, but once you're over the age of ten, you won't really find them entertaining or funny... maybe you won't even see the charm I'm certain I must have seen in the scenes when I was younger. So what are we left with? Plenty of humor, some of which actually works and a few scenes of entertainment. About ten minutes of actual entertainment scattered over just over 100 minutes of film. That's just not enough. The plot is decent, but derivative and unoriginal. The characters are cardboard cutouts. The acting is fine, but no one is particularly impressive. John Williams' score is pretty good. What really bugs me about this film is the portrayal of violence as fun, and OK as long as it's against criminals. This is a film for children; is it really a good idea to show violence like that? To make it fun... and OK? I recommend this film only to people who are too smart to copy it... and it helps if you have a childish sense of humor. 6/10 9 out of 24 found this helpful. Was this review helpful? Sign in to vote. Permalink"
no rating;special;Kirpianuscus26;26 December 2016;the great virtue - its simplicity. a story who escapes from surprises, inspired use of clichés, the role of life for the young Culkin and family humor in a fascinating style. short - one of the dreams of each child, the great fear of each parent. and the danger. few lovely scenes, so beautiful than defines the film as perfect, the gags, the resistance against bad guys, the chaos behind the trip, the competition between brothers are prepares for admirable meetings. a Christmas film. but a real special one. because it is one of great occasions for rediscover the beauty and joy and force of life. as an unique form of miracle. 3 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;The PERFECT CHRISTMAS FILM!!!;dockerykelli6;6 July 2019;Home Alone was/STILL IS A WONDERFUL MOVIE!!! It's PERFECT TO WATCH THROUGH THE HOLIDAY SEASON!!! This movie DID NOT DISAPPOINT!!! It has a GREAT CAST and a great storyline. It has laughter throughout the movie, love, and thrilling moments as well!!!! A+++ Film 4 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Christmas fun for the whole family!;nataliabatsko1;1 December 2021;"This is one of the most popular Christmas movies ever. Name me at least one person who doesn't even know about Home alone, let alone haven't seen it. This movie is just fun. It's about Kevin McAllister (Maculay Culkin) who isn't exactly an angel in his family, a lot of relatives think that he's naughty, messing around during dinner time and getting time outs. But on the day his family leaves to their Paris vacation, they accidentally leave Kevin Home alone (hence the name) and he can finally do what he wants. But they are also Marv and Harry, burglars who enjoy stealing stuff on holidays. At this point, Kevin has to face his fears and protect his home. The traps that the little boy created are funny. My favorite scene is the ""Angels with filthy souls"" one. Where he pranked the pizza delivery guy and Marv with Harry by using an old 30-40s gangster movie audio where a man tells if they don't leave he will shoot on a count of 3. That was so hillarious! The acting is great from everyone, not just Culkin, but also Joe Pesci (Harry), Catherine O'Hara (Mrs McAllister), Daniel Stern (Marv), Devin Ratray (Buzz) and others. Also I like that mysterious old man named Marley who is rumoured to have lots of crimes in his hands according to the older brother Buzz, but he's just a lonely neighbour and not a criminal to be scared of.  I just love Home alone and it's a perfect choice for a Christmas movie for both children and adults! It was super successful and made 5! Sequels, but only one has Culkin, the rest have other young actors, who I doubt will overdo his talent. Definitely a must watch for a winter/Christmas/New year atmosphere! 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink"
10;Somethings wrong with rating....;jillbeckinheim730;30 October 2021;How could this film get only a 6.5?  Yes, it's a kid's movie, but I know plenty of adults(not including myself) who loved this film. It touches our hearts, and tickles our funny bones. Not to mention I think in one way or another we could relate to it. That's why it remains a classic Christmas comedy.  Home Alone is not only one of the highest box office successes of all time, but it deserves more praise. Mac showed a talent that very little child stars have now-a-days. He brought in a great comedy about a boy who accidentally is left home alone when his family goes on vacation and takes on two burglars.  Yeah, it's quit unrealistic about the burglars, but honestly, this is a terrific family film. Joe Pesci and Daniel Stern are the perfect comedy duo of two idiots who can't rob the place because a 8 year old child has out witted them and set some clever and very funny traps around the house. 5 out of 7 found this helpful. Was this review helpful? Sign in to vote. Permalink
9;A great Christmas movie;Zaid_Khoury27;27 December 2019;This movie type you just have to watch every year on Christmas, its a very cozy and feel good movie, its always nice to watch it with your family, get some hot chocolate, and some hot fudge brownies. The plot is very smooth and you just enjoy it throughout, nobody could of played Kevin like Maculay Kulkin. This movie is very fun, funny and a well rounded movie. 4 out of 5 found this helpful. Was this review helpful? Sign in to vote. Permalink
6;An Anomaly of the Genre;jhclues18;18 December 2001;"Take a cheeky eight-year-old, put him in a situation he has to slapstick his way out of with the kind of antics most cartoon characters wouldn't survive, and what you have is one of the most wildly popular, commercially successful comedies of all time. And when it's over, though most likely you'll have had a good time, you'll be tempted to ask the question: Why? Because `Home Alone,' directed by Chris Columbus and written by John Hughes, is mediocre at best, though it does have it's moments. It's a matter of the filmmakers being very astute, perhaps, and wisely mixing in a potpourri of elements with universal appeal and touching upon that common nerve they calculated would give just about anyone in the audience something to which they could relate. And they were right. Kids, Christmas, family, vacation, independence, a scary situation; it's all in here. But, interestingly enough, it lacks the sentimental value that would seemingly have made this a movie one could truly embrace. As it is, it's engaging fare, but somehow manages to keep the viewer at arm's length. Then again, maybe that's even part of the appeal; it may be that audiences at this particular time and place were more comfortable just watching without having to invest anything of themselves in order to have a good time.  This was, after all, 1990, and this film played to a generation weaned on more than a decade of Saturday Night Live, whose keen sense of biting satire and parody definitely had an influence on the mind-set of audiences everywhere. And is that a bad thing? No, absolutely not. It merely points up one possible reason why a film centered around an eight-year-old with a somewhat derisive attitude could be so wholeheartedly received. Also, it may be that the second half of the film, with it's over-the-top slapstick, is what made the final impression on the audience. And this IS funny stuff; and it's going to get to even those who usually prefer humor that doesn't involve slapstick, because it's so well done. Again, credit the filmmakers with having their fingers on the pulse of our culture and standards at the time. But you also have to give credit to Joe Pesci and Daniel Stern who bring the `Wet Bandits,' Harry and Marv, to life, and know how to put across this kind of comedy, which is no easy task.  The story itself is simple: The extended McCallister family sets off for a Christmas vacation in Paris, and inadvertently, Kevin (Macaulay Culkin) gets left behind. Left alone. At home. Where, rising to the occasion beyond anything even the most prodigious teenager could manage, he discovers the thrill of being independent and thwarts a pair of bungling burglars in the balance. Meanwhile, mom and dad (Catherine O'Hara as Kate, John Heard as Peter) go out of their minds when they get to Paris and discover what has happened. If only they knew what an ingenious and imaginative son they had...  Culkin is certainly a cute kid, but can he act? Well, the jury is still out on that one. It's hard to say, since the dialogue he is given is so ridiculously above that of an eight-year-old, and the situations he encounters are so far-fetched, that there is no real frame of reference by which to consider it objectively. His timing and rhythm are lacking, however, that much is clear. His responses-- or, if you will, the punch lines he delivers-- are always a beat behind what they should be. And it robs the humor of the spontaneity that would have made it funnier, even hilarious. As it is, the only real laughs come from Kevin's assault on the Wet Bandits, and there are plenty to be had there.  Pesci and Stern become the real stars of the show as they play out their slapstick antics, which are truly deserving of the laughs they generate. Their expressions of incredulity in the face of the violence that is visited upon them is what makes this movie. Everything else merely sets the stage for Harry and Marv's descent into the maelstrom. And what Pesci and Stern do here should not be taken for granted, nor taken lightly artistically. To put this kind of humor across takes some real talent on the part of consummate professionals, and Pesci and Stern certainly deliver it. Their secret? They play it straight, which keeps the silliness out of it. Had they played it strictly as farce, it simply wouldn't have had the same impact; but by playing to the characters in the situation, rather than to a situation involving characters, it works. And, once again, chalk up another one for Columbus and Hughes, who really know how to deliver this kind of material.  The only truly poignant moment in the film involves Kevin's encounter with a mysterious neighbor, `Old Man Marley,' played wonderfully by character actor/poet Roberts Blossom. The revelation of his secret earlier in the film sets up the purest moment of the ending, and though it is brief, it's inspired and adds a much needed perspective to the story.  The supporting cast includes Devin Ratray (Buzz), Angela Goethals (Linnie), Gerry Bamman (Uncle Frank), Hillary Wolf (Aunt Leslie), Ralph Foody (Gangster Johnny), Billie Bird (Irene), Bill Erwin (Ed) and John Candy, memorable in the role of Gus Polinski, the Polka Band shuttle Chief. Considering the ratio between this movie's substance and the success it still enjoys today, `Home Alone' is something of an anomaly in the history of the genre. it lacks insight, yet delivers some real belly laughs. It lacks a single character the audience can truly embrace, yet is accepted overwhelmingly as is. It lacks inspiration, yet is an inspired film in the way it is crafted and delivered. It's one you're probably going to like and enjoy, but upon reflection may wonder, `Why.' And the answer? Who can say. Go figure. It's the magic of the movies. 6/10. 8 out of 17 found this helpful. Was this review helpful? Sign in to vote. Permalink"
9;Hilarious 'feel good' Christmas family film;snoozejonc24;24 July 2020;A Chicago family go to Paris for Christmas and accidentally leave their youngest son behind to fend for himself against a pair burglars.  When I first saw the trailer for Home Alone, I was curious but unwilling to suspend my disbelief of John Hughes' concept enough to watch it in a movie theatre. After renting the video tape, I regretted my earlier decision because I wholeheartedly accepted what happens to Kevin McCallister. This is partly because everything you are shown in the set up to his predicament is wonderfully cinematic, particularly the family dynamics and all the little moments that connect to things that come later.  We then witness Kevin's character steamroll his way through an arc, transforming him from a chaotic and sometimes frightened child, through to responsible homemaker, valued confidant and finally to become the king and defender of his castle. Anyone who questions a child actor's ability to carry a film should take note that Macaulay Culkin with a pitch perfect script proved it can be done spectacularly well.  The performances of all cast members playing the McCallister family are brilliant, bouncing off each other wonderfully. Memorable cameos come every other scene with the likes of Ralph Foody, John Candy and other supporting characters adding more layers of humour.  The other stars of the film are Joe Pesci and Daniel Stern as a criminal incarnation of Laurel and Hardy. They have epic screen chemistry and their slapstick sequences, with the help of some fabulous stunt performers, are what make the film something to be treasured and rewatched.  John Williams elevates it further with a classic soundtrack that oozes kinetic mayhem, warmth and Christmas spirit.  For those interested in production design, Home Alone is a virtual 'how to guide' for a Christmas themed movie on a low budget. Almost every scene and character is a perfectly coordinated shade of red and green.  The ending is a bit overly sentimental for my usual liking, but at Christmas who wants anything other than something to make them laugh and smile.  I have gained a greater respect for the cinematic craft on display since finding out it can hold my two year old daughter's attention for the duration. 1 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Chaotic and inventive at the same time;LordWimsey1;1 January 2020;I had often heard people talking about this film, sometimes described as a bad one, sometimes described as a kind of must-see. So I watched it this year and am, actually, positively surprised or at least it wasn't as bad as I sometimes heard. Poor little Kevin is left alone at his home, his family have forgotten him on flight to Paris to celebrate Christmas. But while enjoying the being all alone, some shrewd burglars make his street unsafe...  Yes, it is sometimes chaotic and illogical and reminds, as some critics say, in cartoons that wouldn't work in a real film. Yet, Kevin acts like a creative and inventive boy to defend his family's house. It is funny and you should have seen it once. 3 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;one of the best comedy's ever made...;Indy-526;26 September 1999;this movie has to be one of my all-time favorites: Columbus proofed himself as a director in this one, and so did Culkin as an actor. I also liked the performances by Pesci and Stern as the two clumsy robbers. This movie is great from beginning to end and, unfortunately, the last great one from Hughes. But this movie gets a well deserved 8 (the sequel gets the same rating). 3 out of 4 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;My Childhood;jack_o_hasanov_imdb8;8 August 2021;Didn't you watch this movie?  One of the details that made my childhood beautiful.  Russian language movies on VHS were released in Azerbaijan and my uncle bought it for me, I was astounded. Wonderful. This movie is shown on TV every new year. It's already one of the New Year's classics.  Even my great grandmother watched this movie. 1 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink
7;Angels with Filthy Souls: Die Hard for Kids;Cineanalyst20;20 January 2021;"Another amusing Christmas heist flick ripping off ""Die Hard"" (1988), as others have pointed out already--complete with family problems, a protagonist practically breaking the fourth wall by cracking jokes alone, and bleeding feet--""Home Alone"" is a lot funnier than I remembered it being. The cast is great. Joe Pesci and Daniel Stern mug it up. Catherine O'Hara is always good, even if her full comedic talents are underutilized here relative to her parts in Christopher Guest mockumentaries or the TV series ""Schitt's Creek."" Besides, her character is the only member of the family who really seems to care that they forgot a child across the Atlantic Ocean and then some. Roberts Blossom should talk more in this one, because his manner of lip smacking in between short phrases is ASMR triggering. John Candy on another holiday road trip--this time talking about abandoning his little one with a corpse at a funeral parlor. And, of course, Macaulay Culkin. Boy, that kid was famous--probably hasn't been a child movie star that big since and, besides Shirley Temple and Jackie Coogan, before.  Besides breaking fourth walls with the raise of eyebrows, his Kevin enjoys time to himself, eats and watches trash, sleds down staircases, cares about hygiene and keeps a tidy home when not destroying his brother's room or mutilating criminals, shows interest in his hobby of using stuff around the house for an elaborate home security system, and screams into the void every once in a while. I mean, he's got life figured out. Granted, he gets whiny about missing his family after only a couple days, but he's only eight years old, so I suppose that may be forgiven. It's just a fun film. The early hectic family scenes, including the rush to the airport, make this enjoyable from the start, and the film-within-the-film parodying ""Angels with Dirty Faces"" (1938) is a gas, as well. To top it off, they got John Williams to do the score. 2 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink"
